date,ticker,Index,Type,N
2015-03-27 00:00:00+00:00,BB,16696,Neutral,2064.0
2015-05-22 00:00:00+00:00,BB,16736,Neutral,585.0
2015-12-18 00:00:00+00:00,BB,16880,Neutral,1339.0
2016-06-13 00:00:00+00:00,BB,17001,Bad,333.0
2016-06-22 00:00:00+00:00,BB,17008,Neutral,356.0
2016-07-05 00:00:00+00:00,BB,17016,Neutral,301.0
2016-08-29 00:00:00+00:00,BB,17055,Neutral,788.0
2016-09-28 00:00:00+00:00,BB,17076,Neutral,906.0
2017-03-31 00:00:00+00:00,BB,17201,Bad,1996.0
2017-04-12 00:00:00+00:00,BB,17209,Good,1390.0
2017-06-23 00:00:00+00:00,BB,17260,Bad,2541.0
2017-09-21 00:00:00+00:00,BB,17322,Neutral,1068.0
2017-09-28 00:00:00+00:00,BB,17327,Neutral,1869.0
2018-02-26 00:00:00+00:00,BB,17427,Neutral,1046.0
2018-06-22 00:00:00+00:00,BB,17510,Bad,1608.0
2018-09-28 00:00:00+00:00,BB,17578,Good,2312.0
2018-11-13 00:00:00+00:00,BB,17608,Good,915.0
2018-12-20 00:00:00+00:00,BB,17634,Good,1377.0
2019-03-07 00:00:00+00:00,BB,17685,Good,809.0
2019-03-29 00:00:00+00:00,BB,17701,Good,1454.0
2019-06-26 00:00:00+00:00,BB,17763,Bad,1628.0
2019-12-20 00:00:00+00:00,BB,17885,Good,934.0
2013-01-07 00:00:00+00:00,FB,18703,Good,314.0
2013-01-31 00:00:00+00:00,FB,18720,Good,1060.0
2013-07-25 00:00:00+00:00,FB,18842,Good,1886.0
2013-10-31 00:00:00+00:00,FB,18910,Good,8158.0
2014-01-30 00:00:00+00:00,FB,18970,Good,4104.0
2014-02-20 00:00:00+00:00,FB,18984,Neutral,2489.0
2014-04-04 00:00:00+00:00,FB,19015,Bad,1341.0
2014-04-24 00:00:00+00:00,FB,19029,Neutral,3970.0
2014-07-24 00:00:00+00:00,FB,19092,Neutral,3346.0
2014-08-27 00:00:00+00:00,FB,19116,Bad,671.0
2014-10-29 00:00:00+00:00,FB,19159,Bad,4144.0
2015-01-29 00:00:00+00:00,FB,19220,Neutral,2542.0
2015-04-23 00:00:00+00:00,FB,19279,Bad,2780.0
2015-07-17 00:00:00+00:00,FB,19338,Good,808.0
2015-07-30 00:00:00+00:00,FB,19347,Neutral,4248.0
2015-10-23 00:00:00+00:00,FB,19406,Neutral,838.0
2015-11-05 00:00:00+00:00,FB,19415,Neutral,2513.0
2016-01-28 00:00:00+00:00,FB,19470,Neutral,2891.0
2016-04-28 00:00:00+00:00,FB,19534,Good,3661.0
2016-06-13 00:00:00+00:00,FB,19565,Bad,577.0
2016-07-28 00:00:00+00:00,FB,19597,Neutral,3872.0
2016-09-23 00:00:00+00:00,FB,19637,Bad,898.0
2016-11-03 00:00:00+00:00,FB,19665,Bad,5171.0
2017-02-02 00:00:00+00:00,FB,19725,Neutral,3537.0
2017-05-04 00:00:00+00:00,FB,19789,Bad,3243.0
2017-07-27 00:00:00+00:00,FB,19847,Good,5353.0
2017-09-25 00:00:00+00:00,FB,19888,Bad,846.0
2017-11-02 00:00:00+00:00,FB,19915,Good,4184.0
